trajectory_id,t,split,action,reward,logged_behavior_action,always_eco_action,never_eco_action,heuristic_risk_rule_action,non_causal_fqi_action,causal_fqi_action,causal_no_history_fqi_action,causal_no_vehicle_id_fqi_action
12223,0,test,1,-17.2548,1,1,0,0,1,0,0,1
12223,1,test,1,-2.6718,1,1,0,1,0,1,1,1
12223,2,test,1,-1.0404,1,1,0,1,1,1,1,1
12223,3,test,0,-0.9166,0,1,0,1,0,0,0,0
12223,4,test,0,-1.0048,0,1,0,1,0,0,0,0
12223,5,test,0,-0.766,0,1,0,0,0,0,0,0
12224,0,test,1,-16.3664,1,1,0,1,0,1,1,1
12224,1,test,0,-0.6990000000000001,0,1,0,0,0,0,0,0
12224,2,test,1,-10.7748,1,1,0,0,1,1,0,0
12225,0,test,1,-2.5994,1,1,0,0,0,0,0,0
12225,1,test,1,-0.2702,1,1,0,1,1,0,0,1
12225,2,test,1,-2.4124,1,1,0,1,1,1,1,1
12225,3,test,1,-0.1066,1,1,0,1,1,0,0,1
12225,4,test,0,-2.6814,0,1,0,0,1,0,0,0
12225,5,test,0,-0.4872,0,1,0,1,0,0,0,0
12225,6,test,1,-22.7886,1,1,0,0,0,0,0,0
12225,7,test,1,-0.9048,1,1,0,1,1,1,1,1
12225,8,test,1,-0.7250000000000001,1,1,0,1,1,1,0,1
12226,0,test,1,-0.3696,1,1,0,0,1,1,1,1
12226,1,test,1,-2.0748,1,1,0,0,1,1,1,0
12226,2,test,1,-6.7492,1,1,0,0,1,0,0,0
12226,3,test,0,-1.4794,0,1,0,1,0,0,0,0
12226,4,test,1,-0.627,1,1,0,1,0,1,1,1
12226,5,test,1,-1.4742000000000002,1,1,0,1,0,0,1,0
12227,0,test,1,-33.8084,1,1,0,0,0,0,0,0
12227,1,test,0,-12.9988,0,1,0,1,0,0,0,1
12227,2,test,0,-13.0436,0,1,0,0,0,1,1,1
12227,3,test,0,-2.3986,0,1,0,0,0,0,0,1
12227,4,test,1,-2.729,1,1,0,1,1,1,1,1
12227,5,test,0,-2.8692,0,1,0,0,1,1,1,1
12227,6,test,0,-12.9196,0,1,0,1,1,0,0,1
12227,7,test,1,-0.8212,1,1,0,1,1,1,1,1
12228,0,test,0,-1.3556,0,1,0,1,0,1,0,0
12228,1,test,1,-1.0654,1,1,0,1,1,1,1,1
12228,2,test,1,-2.6606,1,1,0,1,1,1,1,1
12228,3,test,1,-12.1886,1,1,0,0,1,1,1,1
12228,4,test,1,-2.5054,1,1,0,0,1,1,1,1
12228,5,test,1,-0.085,1,1,0,0,1,1,1,1
12228,6,test,0,-5.4816,0,1,0,0,0,0,0,0
